"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isProductPageReviewFromOtherCountry","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"Canada",,"2025-05-30",,"allStars","https://www.amazon.com/Something-Beautiful-Miley-Cyrus/dp/B0F22VWYLH/ref=zg_bsnr_c_music_d_sccl_2/132-8474279-2690144?pd_rd_w=b8wxt&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=0AZK4J24X53RJBQ01M5Z&pd_rd_wg=Ttbyb&pd_rd_r=f2a92114-58f8-44c7-b920-8d2fd4bb5aaa&pd_rd_i=B0F22VWYLH&psc=1","false","true","true","3",,,"B0F22VWYLH","B0F22VWYLH","5",,"Awesone! My new favorite cd.","R6E30G9WQ3557",,,,,,,,,,,,"Much anticipated cd well worth the wait.Miley Cyrus just keeps getting better!",,"Reviewed in Canada on May 30, 2025",,,,,"","B0F22VWYLH",,,,,,
"United States",,"2025-03-04",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","1",,,"B0CKWKQMV3","B0CKWKQMV3","1",,"Does not do what it advertises. It takes you to another site to buy something that might work or not. Amazon says free shipping back and it cost me $4.95 to send it back. It also charged another lady beside me the same.","R1MCT44H97G9QP",,,,,,,,,,,,"Amazon lost Cause","https://www.amazon.com/gp/customer-reviews/R1MCT44H97G9QP/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on March 4, 2025",,,"amzn1.account.AH2DW6OOZ2KQX2GCHHZFIEHXQAGQ","https://www.amazon.com/gp/profile/amzn1.account.AH2DW6OOZ2KQX2GCHHZFIEHXQAGQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2024-06-10",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","2",,,"B0CKWKQMV3","B0CKWKQMV3","5",,"THIS PRODUCT IS FOR PERSONAL USE AND IT DOES ALL IT CLAIMS AND MORE. A GREAT PRODUCT FOR THE COST IN A MODERN WORLD.","R3A30NE5CEQRZV",,,,,,,,,,,,"NERO A HOT ITEM","https://www.amazon.com/gp/customer-reviews/R3A30NE5CEQRZV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on June 10, 2024",,,"amzn1.account.AFE64THZXIFETZ4PDS5NP5AZIWNA","https://www.amazon.com/gp/profile/amzn1.account.AFE64THZXIFETZ4PDS5NP5AZIWNA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2025-04-13",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","3",,,"B0CKWKQMV3","B0CKWKQMV3","4",,"YOU HAVE TO HAVE THE INTERNET FOR IT WORK","R2NNBFQOUJIAM8",,,,,,,,,,,"One person found this helpful","It's work for me","https://www.amazon.com/gp/customer-reviews/R2NNBFQOUJIAM8/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on April 13, 2025",,,"amzn1.account.AHFIXAUOZEBDAWL7EJEXIXM47GJQ","https://www.amazon.com/gp/profile/amzn1.account.AHFIXAUOZEBDAWL7EJEXIXM47GJQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2025-04-27",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","4",,,"B0CKWKQMV3","B0CKWKQMV3","1",,"Box show signs of damage.  Maybe used.","R3VV1EH4DKPYJ6","https://m.media-amazon.com/images/I/61bc1R42D0L._SY88.jpg",,,,,,,,,,"One person found this helpful","Nero","https://www.amazon.com/gp/customer-reviews/R3VV1EH4DKPYJ6/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on April 27, 2025",,,"amzn1.account.AHI3V7WWZDS7RDESCW335DVCMU6Q","https://www.amazon.com/gp/profile/amzn1.account.AHI3V7WWZDS7RDESCW335DVCMU6Q/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2024-08-01",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","5",,,"B0CKWKQMV3","B0CKWKQMV3","5",,"It does what it says it does and it’s appreciate that","RSNPM4EW42IAT",,,,,,,,,,,,"Good stuff","https://www.amazon.com/gp/customer-reviews/RSNPM4EW42IAT/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on August 1, 2024",,,"amzn1.account.AHCDOZ75ACHN4BFP5TQI3E7Q4UUA","https://www.amazon.com/gp/profile/amzn1.account.AHCDOZ75ACHN4BFP5TQI3E7Q4UUA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2024-08-11",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","6",,,"B0CKWKQMV3","B0CKWKQMV3","2",,"Loaded..then received message software was for a week trial and needed to be upgraded","R3SDFAGQPX3SVB",,,,,,,,,,,,"Lots of ads","https://www.amazon.com/gp/customer-reviews/R3SDFAGQPX3SVB/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on August 11, 2024",,,"amzn1.account.AHQKIRMLHVBN2GMKJVK63JGGHMJQ","https://www.amazon.com/gp/profile/amzn1.account.AHQKIRMLHVBN2GMKJVK63JGGHMJQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2025-03-27",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","7",,,"B0CKWKQMV3","B0CKWKQMV3","1",,"Waste of your money Nero used to be really good","R3Q07D4GNPYZ0T",,,,,,,,,,,"One person found this helpful","Get something else","https://www.amazon.com/gp/customer-reviews/R3Q07D4GNPYZ0T/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on March 27, 2025",,,"amzn1.account.AFFMX6FHYJPESJR4C3WUQBNO7FYA","https://www.amazon.com/gp/profile/amzn1.account.AFFMX6FHYJPESJR4C3WUQBNO7FYA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"United States",,"2024-01-21",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","false","true","8",,,"B0CKWKQMV3","B0CKWKQMV3","5",,"My older version of Nero wasn’t compatible with th OS on my new computer.Exactly as advertised, arrived on time, good value.","R2VJFKVO693R7S",,,,,,,,,,,,"Nero is a good affordable product","https://www.amazon.com/gp/customer-reviews/R2VJFKVO693R7S/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0CKWKQMV3","Reviewed in the United States on January 21, 2024",,,"amzn1.account.AF3YDH2TQFVEZ7YPX5ODJWGV7HTQ","https://www.amazon.com/gp/profile/amzn1.account.AF3YDH2TQFVEZ7YPX5ODJWGV7HTQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","","B0CKWKQMV3",,,,,,
"Canada",,"2025-02-03",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","true","true","1",,,"B0CKWKQMV3","B0CKWKQMV3","1",,"Product can not burn d.v.ds. so your media player can do the same thing for free,","RQTI9XBVOXMUD",,,,,,,,,,,,"Not a DVD burner.",,"Reviewed in Canada on February 3, 2025",,,,,"","B0CKWKQMV3",,,,,,
"Canada",,"2025-01-02",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","true","true","2",,,"B0CKWKQMV3","B0CKWKQMV3","1",,"This product doesn't do much of anything unless you buy there new products","R2NMSEV3P2F0OI",,,,,,,,,,,,"Additional purchases required to much of anything",,"Reviewed in Canada on January 2, 2025",,,,,"","B0CKWKQMV3",,,,,,
"Canada",,"2024-01-29",,"allStars","https://www.amazon.com/Nero-Express-Burning-Copying-Software/dp/B0CKWKQMV3/ref=zg_bsms_g_software_d_sccl_39/132-8474279-2690144?psc=1","false","true","true","3",,,"B0CKWKQMV3","B0CKWKQMV3","1",,"This program will not burn dad's from mp4 and avid type of files. Not much use unless you purchase the upgrade.","R1GI6B8JWW6M54",,,,,,,,,,,,"This is a promo to get you to buy upgrades",,"Reviewed in Canada on January 29, 2024",,,,,"","B0CKWKQMV3",,,,,,
"United States",,"2025-05-27",,"allStars","https://www.amazon.com/VERTHMOE-Fathers-Dad-Nothing-Daughter/dp/B0F144RYGN/ref=zg_bsnr_c_hi_d_sccl_7/132-8474279-2690144?pd_rd_w=YAwA9&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=0AZK4J24X53RJBQ01M5Z&pd_rd_wg=Ttbyb&pd_rd_r=f2a92114-58f8-44c7-b920-8d2fd4bb5aaa&pd_rd_i=B0F144RYGN&th=1","false","false","true","1",,,"B0F144RYGN","B0F144RYGN","5",,"Very useful for opening Amazon delivery boxes! very sharp and a staple on my key chain now","RRSGU841WJTZN",,,,,,,,,,,,"Usefullness","https://www.amazon.com/gp/customer-reviews/RRSGU841WJTZN/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F144RYGN","Reviewed in the United States on May 27, 2025",,,"amzn1.account.AEMW2Z5L4C2V4XFJUKUVMLEYV4JQ","https://www.amazon.com/gp/profile/amzn1.account.AEMW2Z5L4C2V4XFJUKUVMLEYV4JQ/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Style: Multitool With Engraving Drive Safe Daddy","B0F144RYGN","Style","Multitool With Engraving Drive Safe Daddy",,,,
"United States",,"2025-05-26",,"allStars","https://www.amazon.com/VERTHMOE-Fathers-Dad-Nothing-Daughter/dp/B0F144RYGN/ref=zg_bsnr_c_hi_d_sccl_7/132-8474279-2690144?pd_rd_w=YAwA9&content-id=amzn1.sym.fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_p=fef9af56-6177-46e9-8710-a5293a68dd39&pf_rd_r=0AZK4J24X53RJBQ01M5Z&pd_rd_wg=Ttbyb&pd_rd_r=f2a92114-58f8-44c7-b920-8d2fd4bb5aaa&pd_rd_i=B0F144RYGN&th=1","true","false","false","2",,,"B0F144RYGN","B0F144RYGN","4",,"This is a fine little gift as a stocking stuffer, or a small gift to add to a larger lot. It is nothing great. It is a simple tool for opening boxes or beers. Carabiner like clip, you can attach it to a backpack or a set of keys. It is sharp enough to tackle the occasional package or mail. The price is good. It is well worth it. If you have large hands, it might be too small.Of course it does not have to be a gift, I didn’t gift it. I attached to my backpack, to a zipper. For that once in a blue moon that I will need a knife, and that’s the only one available. I did test it on a. Few amazon packages, and it performed well. It was a little awkward to get it right in the hand, because it is so small.","R1EYON7DFY8SDG","https://m.media-amazon.com/images/I/71mnwVJkb2L._SY88.jpg","https://m.media-amazon.com/images/I/71jvHxy4XZL._SY88.jpg","https://m.media-amazon.com/images/I/71rr3wc5KyL._SY88.jpg","https://m.media-amazon.com/images/I/71zW6vk8n5L._SY88.jpg",,,,,,,,"Good little gift","https://www.amazon.com/gp/customer-reviews/R1EYON7DFY8SDG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B0F144RYGN","Reviewed in the United States on May 26, 2025",,,"amzn1.account.AGX2UDNFCTQ6U7DGZPBCMCVPUMLA","https://www.amazon.com/gp/profile/amzn1.account.AGX2UDNFCTQ6U7DGZPBCMCVPUMLA/ref=cm_cr_dp_d_gw_tr?ie=UTF8","Style: Multitool With No Engraving","B0F144RYGN","Style","Multitool With No Engraving",,,,
